YORF	NAME	G0.05	G0.1	G0.15	G0.2	G0.25	G0.3	N0.05	N0.1	N0.15	N0.2	N0.25	N0.3	P0.05	P0.1	P0.15	P0.2	P0.25	P0.3	S0.05	S0.1	S0.15	S0.2	S0.25	S0.3	L0.05	L0.1	L0.15	L0.2	L0.25	L0.3	U0.05	U0.1	U0.15	U0.2	U0.25	U0.3
YGR081C	SLX9       || DNA metabolism || molecular function unknown || YGR081C || 1085493	-0.52	-0.22	-0.73	-1.06	-0.41	-0.07	-1.62	-1.08	0.09	0.53	0.37	-0.07	0.31	0.31	0.58	0.49	0.6	0.68	-0.51	-0.38	0.05	-0.02	0.08	-0.06	-0.66	-0.13	-0.24	-0.09	-0.12	0	-1.28	-0.57	-0.25	0.03	-0.1	-0.15
YBR220C	|| biological process unknown || molecular function unknown || YBR220C || 1086451	-1.06	-0.74	-0.68	-0.47	-0.36	-0.19	-0.63	-0.72	-1.36	-1.05	-0.8	-0.2	-1.16	-0.8	-0.62	-0.45	-0.29	0.01	-1.33	-1.12	-1.05	-0.67	-0.63	-0.41	-1.01	-0.85	-0.63	-0.4	-0.1	-0.19	-1.8	-0.88	-0.67	-0.72	-0.63	0.1
YFR031C-A	RPL2A      || protein biosynthesis || structural constituent of ribosome || YFR031C-A || 1081243	-0.59	-0.5	-0.49	-0.15	-0.03	-0.01	-0.86	-0.43	-0.76	-0.61	-0.4	0.01	-1.31	-0.83	-0.59	-0.48	0.04	0	-0.75	-0.66	-0.43	-0.26	-0.19	-0.08	-0.4	-0.08	-0.14	-0.04	0.14	0.03	-0.87	0.05	0.03	-0.14	-0.06	0.19
YBR297W	"MAL33      || regulation of transcription, DNA-dependent* || transcription factor activity || YBR297W || 1085947"	-0.69	-0.33	-0.1	0.24	0.3	0.11	-1.54	-1.27	-0.97	-0.94	-0.72	-0.76	-1.55	-1.44	-1.55	-1.2	-1.2	-1.05	-1.33	-0.98	-0.85	-0.63	-0.5	-0.5	-0.48	0.08	-0.29	-0.23	-0.49	-0.78	-2.06	-1.13	-0.77	-0.65	-0.66	-0.52
YMR012W	CLU1       || translational initiation* || molecular function unknown || YMR012W || 1084607	-1.04	-0.89	-0.44	0.08	-0.01	-0.17	-1.2	-1.21	-0.76	-1	-0.64	-0.46	-1.09	-0.91	-0.47	-0.48	-0.44	-0.74	-1.8	-1.01	-0.8	-0.67	-0.69	-0.7	-0.88	-1.1	-0.73	-0.89	-0.58	-0.58	-1.63	-1	-0.55	-0.67	-0.67	-0.65
YOR036W	PEP12      || Golgi to vacuole transport || t-SNARE activity || YOR036W || 1085213	1.58	1.17	1.26	0.84	0.12	0.03	0.76	0.86	1.53	1.53	1.12	0.5	1.47	1.2	1.23	0.93	0.4	0.06	1.53	1.24	1.04	0.91	0.94	0.49	1.37	1.01	0.56	0.31	-0.01	-0.03	2.07	1.48	0.85	0.57	0.29	-0.01
YMR021C	MAC1       || positive regulation of transcription from RNA polymerase II promoter* || specific RNA polymerase II transcription factor activity || YMR021C || 1084634	0.25	0.27	0.13	0.28	-0.12	-0.09	0.13	0.14	0.32	0.17	0.01	-0.16	0.12	0.08	0.33	0.08	0.16	-0.37	0.65	0.65	0.22	0.19	-0.06	0.12	0.52	0.57	0.25	0.08	-0.03	-0.21	-0.54	0.19	-0.06	-0.11	-0.35	-0.2
YOL115W	PAP2       || mitotic sister chromatid cohesion* || polynucleotide adenylyltransferase activity* || YOL115W || 1084908	-0.61	-0.68	-0.23	-0.09	0.03	0.11	0.12	0.05	-0.33	0.05	0.15	0.14	-0.51	-0.57	-0.3	-0.43	-0.12	-0.28	-0.12	-0.16	-0.1	-0.07	-0.01	0.02	-0.45	-0.09	0.06	0.02	0.17	0.32	-0.48	-0.28	0.14	0	0.14	0.09
YPL124W	SPC29      || microtubule nucleation* || structural constituent of cytoskeleton || YPL124W || 1080754	-0.54	-0.71	-0.69	-0.74	-0.3	-0.26	0.15	0.16	0.32	0.55	0.65	-0.07	0.89	0.62	0.94	1.12	0.63	0.57	0.58	0.16	0.32	0	0.49	-0.05	-0.38	-0.15	-0.02	0.05	0.03	0.17	-0.31	-0.07	0	0.4	0.07	-0.33
YKL153W	||  ||  || YKL153W || 1086387	-1.64	-2.15	-1.85	-1.44	-0.36	0.38	-0.84	-0.57	-1.21	-0.73	-0.24	0.61	1.45	1.82	1.26	1.34	1.59	1.91	1.62	-0.13	0.44	0.52	0.69	0.67	-0.58	-0.05	0.94	1.17	1.13	1.3	0.11	0.04	0.32	1.01	0.67	1.06
YKR083C	DAD2       || mitotic spindle organization and biogenesis in nucleus* || structural constituent of cytoskeleton || YKR083C || 1084599	-1.08	-0.68	-0.64	-0.63	-0.42	-0.29	-1.59	-1.17	0.29	0.7	0.49	-0.13	0.94	0.63	0.82	0.85	0.68	0.71	0.24	0.03	0.36	0.19	0.24	0.07	-0.71	-0.65	-0.39	-0.2	-0.19	-0.32	-0.67	-0.58	-0.12	0.05	-0.33	-0.4
YJL184W	GON7       || cell wall mannoprotein biosynthesis* || molecular function unknown || YJL184W || 1081495	-0.1	0.13	-0.4	-0.47	-0.3	-0.34	-0.46	-0.31	-0.03	-0.4	-0.31	-0.64	0.1	0.19	-0.02	-0.08	-0.04	-0.17	0.91	-0.56	-0.39	-0.52	-0.28	-0.49	-0.03	-0.06	-0.07	0.02	-0.27	-0.24	0.74	-0.34	-0.49	0.05	-0.55	-0.54
YDL157C	|| biological process unknown || molecular function unknown || YDL157C || 1086680	-0.33	0.37	-0.21	-0.32	-0.01	0.02	-1.84	-1.12	-0.18	0.02	0.02	-0.44	0.15	0.21	0.57	0.75	0.66	0.64	-1.1	-0.07	0.24	0.23	0.26	0.24	-0.15	0.17	-0.04	0.14	-0.07	0.08	-0.3	-0.2	-0.03	0.15	-0.04	-0.19
YBR200W	BEM1       || establishment of cell polarity (sensu Fungi)* || protein binding || YBR200W || 1085753	0.03	-0.01	0.01	0.12	-0.19	-0.2	0.24	0.21	0.28	-0.02	0.05	-0.23	-0.08	-0.03	-0.21	-0.31	-0.34	-0.55	0.39	0.1	0.11	-0.06	0.1	-0.17	-0.22	0.27	0.1	-0.17	-0.09	-0.05	-0.62	-0.21	-0.39	-0.19	-0.3	-0.28
YGR277C	|| coenzyme A biosynthesis || pantetheine-phosphate adenylyltransferase activity || YGR277C || 1084526	0.38	0.29	0.17	0.14	0.04	0.1	0.19	0.34	0.63	0.4	0.32	0.1	0.51	0.41	0.3	0.29	0.47	0.3	0.78	0.56	0.61	0.45	0.58	0.41	0.22	0.38	0.15	0.22	0.19	0.18	1.15	0.55	0.37	0.36	0.22	0.3
YKL162C	|| biological process unknown || molecular function unknown || YKL162C || 1081918	1.56	1	0.6	0.57	0.48	0.26	1.43	1.35	1.3	0.71	0.31	0.08	0.89	0.61	0.1	0.01	-0.34	-0.12	0.75	1.11	0.5	0.57	0.4	0.37	1.19	0.63	0.26	0.23	0.17	0.06	2.64	1.21	0.45	0.16	0.24	0.05
YLR405W	DUS4       || tRNA modification || tRNA dihydrouridine synthase activity || YLR405W || 1085142	-0.89	-0.48	-0.45	-0.37	0.03	-0.02	-0.79	-0.48	-0.48	-0.38	-0.37	0.01	-0.64	-0.58	-0.19	-0.28	0.09	0.35	-0.62	-0.46	-0.13	-0.06	-0.14	0.03	-0.47	-0.27	0.13	0.06	0.01	0.07	-0.65	-0.42	-0.25	0.01	-0.2	0.04
YPL133C	RDS2       || response to xenobiotic stimulus || transcription factor activity || YPL133C || 1083792	-0.08	0.33	0.41	0.4	0.02	-0.11	0.23	0.04	0.1	0.09	-0.01	-0.17	-0.23	-0.09	-0.13	-0.13	-0.14	-0.72	0.08	0	-0.08	-0.33	0.07	-0.23	0.01	-0.07	-0.08	-0.8	-0.16	-0.19	0.38	0.07	0.06	-0.01	-0.16	-0.06
YDL137W	ARF2       || ER to Golgi transport* || GTPase activity || YDL137W || 1081812	0.86	0.99	0.84	0.5	0.31	0.16	0.5	0.69	0.97	0.95	0.6	0.24	1.15	0.77	0.6	0.55	0.34	0.19	1.2	0.91	0.56	0.42	0.26	0.17	0.89	0.81	0.48	0.27	0.12	-0.03	1.72	0.68	0.23	0.16	0.06	-0.14
YOR251C	|| biological process unknown || thiosulfate sulfurtransferase activity || YOR251C || 1082527	0.44	0.46	0.19	0.21	0.15	0.21	0.7	0.74	0.43	0.32	-0.02	0.29	0.32	0.22	0.09	-0.08	0.15	0.04	1.52	0.55	0.43	0.33	0.39	0.29	0.19	0.18	0.22	0.12	0.14	0.17	1.39	0.33	0.15	0.14	0.18	0.26
YBR286W	APE3       || vacuolar protein catabolism || aminopeptidase activity || YBR286W || 1084558	0.2	-0.12	0.34	0.23	-0.12	-0.04	1.13	1.16	-0.45	-0.07	-0.2	0.15	0.5	0.46	0.05	0.35	0.16	0.2	0.02	-0.01	-0.15	-0.07	-0.19	-0.14	-0.43	-0.16	-0.01	-0.12	0.05	0	-0.49	-0.28	-0.5	-0.29	0.01	0.17
YJR054W	|| biological process unknown || molecular function unknown || YJR054W || 1085083	-1.05	-0.75	-0.49	-0.58	-0.16	-0.04	-0.77	-0.86	-0.23	0	0.24	0.18	-0.01	0.07	0.32	0.47	0.64	0.73	-0.46	-0.27	-0.06	-0.12	-0.04	0.01	-0.92	-0.55	-0.11	-0.03	0.14	0.09	-0.76	-0.54	0.02	0.05	0.02	0.16
YLR032W	RAD5       || DNA repair || ATPase activity || YLR032W || 1081898	0.1	0.17	-0.31	-0.2	-0.02	0.16	0.19	-0.01	-0.18	-0.05	-0.09	0.01	0.43	0.24	0.2	0.21	0.13	0.06	-0.4	-0.25	0.02	0.02	0.16	0.05	0.17	-0.09	0.11	0.11	0.19	0.26	-0.36	-0.48	0.01	0.12	-0.04	0.02
YDR027C	VPS54      || Golgi to vacuole transport* || molecular function unknown || YDR027C || 1082951	-0.34	-0.3	-0.35	-0.15	-0.16	-0.04	0.57	0.35	0.04	0.27	-0.13	-0.03	0.43	0.37	0.46	0.58	0.34	0.22	0.25	-0.1	0.04	-0.02	0.07	0.01	-0.09	0.05	-0.12	-0.17	0.02	0.03	-0.11	-0.25	-0.19	0	-0.07	0.12
YOL124C	TRM11      || tRNA methylation || RNA binding* || YOL124C || 1085371	-0.89	-0.72	-0.43	-0.4	-0.18	0.07	-1.96	-1.59	-0.87	-0.61	-0.26	-0.06	-0.95	-0.93	-0.77	-0.54	-0.23	-0.38	-1.23	-0.94	-0.49	-0.44	-0.33	-0.2	-1.17	-0.52	-0.26	-0.23	0	0.12	-2.3	-1.13	-0.39	-0.2	-0.14	0
YLR414C	|| biological process unknown || molecular function unknown || YLR414C || 1084966	1.68	1.36	1.75	1.29	0.53	0.38	0.27	-0.2	0.1	0.57	0.52	0.6	-0.51	-0.45	-0.37	-0.47	-0.59	-0.42	0.17	0.65	0.56	0.75	0.79	0.97	1.53	1.22	0.72	0.59	0.41	0.42	1.55	1.98	1.45	1.15	1.15	0.74
YKL142W	MRP8       || protein biosynthesis || structural constituent of ribosome || YKL142W || 1083214	1.54	1.27	1.03	0.81	0.18	-0.04	1.04	0.73	1.59	1.4	0.59	-0.09	1.37	1.09	0.98	0.51	0.23	-0.21	1.79	1.37	0.97	0.72	0.84	0.3	1.23	1.11	0.89	0.55	0.16	0.22	1.47	1.28	0.51	0.78	-0.03	-0.21
YMR087W	|| tRNA splicing || phosphoric monoester hydrolase activity || YMR087W || 1083151	0.72	0.82	0.73	1	0.47	0.35	1.07	1.09	0.59	0.32	0.31	0.5	0.51	0.28	-0.02	-0.22	-0.31	0.23	1.11	1	0.76	0.92	0.8	0.54	1.04	0.25	0.35	0.32	0.09	0.32	1.68	0.97	0.69	0.58	0.58	0.39
YKR072C	SIS2       || G1/S transition of mitotic cell cycle* || phosphopantothenoylcysteine decarboxylase activity* || YKR072C || 1081300	0.16	-0.16	0.14	0.11	0.01	0.03	0.54	-0.04	-1.19	-1.19	-0.73	-0.28	-0.65	-0.56	-0.56	-0.59	-0.33	-0.57	-0.82	-0.9	-1.22	-0.98	-0.9	-0.7	-0.07	-0.27	-0.22	-0.31	-0.01	-0.15	-0.57	-0.56	-0.04	-0.33	-0.23	-0.05
YDR233C	RTN1       || biological process unknown || molecular function unknown || YDR233C || 1080629	-1.21	-1.3	-0.59	-0.36	-0.27	-0.23	-1	-0.75	-0.95	-0.48	-0.38	-0.11	0.13	-0.19	-0.32	-0.15	-0.15	0.03	-1.96	-1.51	-1.17	-0.56	-0.7	-0.22	-0.51	-0.71	-0.44	-0.31	-0.15	-0.14	-0.87	-0.24	-0.15	-1.2	0.2	0.27
YOR025W	HST3       || chromatin silencing at telomere* || DNA binding || YOR025W || 1081050	-0.12	-0.2	-0.02	0.11	0.1	0	0.28	0.22	-0.47	-0.39	-0.18	-0.08	-0.54	-0.55	-0.44	-0.34	-0.31	-0.61	-0.71	-0.4	-0.7	-0.41	-0.29	-0.14	-0.39	-0.34	0.31	0.07	0.02	-0.1	-0.11	-0.26	-0.23	0.02	-0.05	-0.03
YNR065C	|| biological process unknown || molecular function unknown || YNR065C || 1081961	-0.16	-0.02	0.15	0.17	-0.21	-0.12	0.27	0.03	-0.16	-0.39	-0.03	0.15	-0.32	-0.54	-0.45	-0.51	-0.55	-0.32	-0.46	-0.45	-0.28	-0.11	-0.06	0.08	0.74	0.3	0.13	-0.06	-0.21	-0.11	0.22	0.51	0.59	0.14	0.38	0.34
YKL151C	|| biological process unknown || molecular function unknown || YKL151C || 1085993	1.83	1.23	0.65	0.54	0.28	0.09	2.07	1.41	0.12	-0.01	-0.17	-0.23	1.64	1.28	0.96	0.57	0.38	0.16	2.28	0.98	0.42	0.26	0.18	-0.03	1.71	1.11	0.76	0.5	0.21	0.17	2.73	1.58	0.93	0.69	0.38	0.15
YCR028C-A	RIM1       || mitochondrial genome maintenance || single-stranded DNA binding || YCR028C-A || 1085326	0.1	0.31	0.26	0.13	0.16	0.07	-0.54	0.33	0.82	0.65	0.1	-0.08	0.8	0.44	0.36	0.28	0.19	0.6	0.68	0.21	0.37	0.24	0.18	0.11	-0.16	-0.23	-0.17	-0.1	-0.37	-0.04	0.55	0.09	-0.01	0.16	-0.06	-0.24
YDR007W	TRP1       || tryptophan biosynthesis* || phosphoribosylanthranilate isomerase activity || YDR007W || 1082830	0.62	0.94	0.69	0.63	0.39	0.2	-0.22	0.32	0.65	0.47	0.35	0.18	0.56	0.57	0.32	0.34	0.09	0.22	-0.03	0.62	0.65	0.42	0.43	0.33	0.75	0.52	0.56	0.44	0.1	0.22	0.89	0.53	0.15	0.3	0.08	0.04
YAR023C	|| biological process unknown || molecular function unknown || YAR023C || 1084765	0.43	0.09	-0.13	0.09	0.02	0.24	-0.24	-0.24	0.45	0.47	-0.05	-0.15	0.56	0.28	0.78	0.51	0.06	0.46	0.448968	0	0.14	0.12	0.1	0.06	1.12	0.29	0.2	0.51	0.1	0.2	1.37	0.18	0.04	0.23	0.01	-0.34
YOR231W	MKK1       || protein amino acid phosphorylation* || MAP kinase kinase activity || YOR231W || 1083101	-0.18	-0.47	-0.45	-0.25	-0.08	-0.08	0.18	-0.26	-0.83	-0.65	-0.43	-0.05	-0.63	-0.56	-0.66	-0.4	-0.28	-0.08	-1.02	-0.81	-0.61	-0.58	-0.6	-0.43	-0.02	-0.3	-0.17	-0.2	-0.18	-0.08	-0.14	-0.27	-0.23	-0.15	-0.11	-0.12
YPR003C	|| biological process unknown || molecular function unknown || YPR003C || 1082575	0.22	-0.14	-0.35	-0.31	-0.14	-0.22	0.78	0.56	0.14	0.09	0.03	-0.43	0.77	0.61	0.54	0.48	0.27	0.56	0.28	-0.13	-0.02	-0.15	-0.1	-0.07	0.02	-0.29	-0.16	-0.07	-0.28	-0.23	0.35	-0.15	-0.41	-0.18	-0.01	-0.04
YOR034C	AKR2       || endocytosis || molecular function unknown || YOR034C || 1083208	0	-0.45	-0.19	-0.05	-0.33	-0.17	0.58	0.47	0.28	-0.07	-0.17	-0.02	0.5	0.36	0.36	0.5	0.09	0.3	-0.03	0.39	0.13	0.39	0.18	0.29	0.06	0.08	0	0.2	0.21	-0.01	0.14	0.03	-0.12	-0.37	0.12	0.49
YCR047C	BUD23      || bud site selection || S-adenosylmethionine-dependent methyltransferase activity || YCR047C || 1081702	0.12	0.01	0.31	0.13	-0.03	0.18	1.59	1.23	-0.63	-0.6	-0.34	0.34	-1.42	-1.04	-0.97	-0.69	-0.6	-0.48	0.61	-0.05	-0.38	-0.32	-0.41	-0.33	0.09	-0.43	-0.18	-0.23	-0.2	0.05	1.07	-0.24	0.15	-0.16	-0.22	0.21
YDR213W	UPC2       || sterol biosynthesis* || RNA polymerase II transcription factor activity || YDR213W || 1082452	0.01	0.24	0.48	0.14	0.17	0.16	0.79	0.3	-0.43	-0.09	0.07	0.22	0.1	0.15	-0.01	0.19	0.3	0.27	0.24	0.52	0.28	0.49	0.39	0.39	0.21	0.3	0.47	0.4	0.36	0.23	0.25	-0.29	-0.05	0.28	0.07	0.2
YDR016C	DAD1       || mitotic spindle organization and biogenesis in nucleus* || structural constituent of cytoskeleton || YDR016C || 1086598	0.16	0.7	-1.08	-0.25	0.12	0.35	-0.45	-0.51	0.63	0.33	0.53	0.42	-0.31	-0.34	-0.32	0.05	-0.35	0.31	-0.61	0.68	0.83	0.91	0.79	0.82	0.12	0.05	-0.09	0.31	0.09	0.52	0.3	-0.03	0.34	0.56	0.23	0.15
YGL119W	ABC1       || ubiquinone biosynthesis || molecular function unknown || YGL119W || 1086216	-0.05	-0.28	-0.37	-0.31	0.1	0.26	0	0.07	-0.12	0.07	0.17	0.25	-0.15	-0.19	-0.24	-0.58	-0.32	-0.14	0.07	-0.52	-0.17	-0.38	-0.16	-0.27	-0.37	-0.16	-0.1	0.08	0.12	0.16	-0.32	-0.46	-0.2	-0.08	-0.07	0.07
YNL144C	|| biological process unknown || molecular function unknown || YNL144C || 1085214	-0.1	-0.29	-0.13	0.29	0.48	-0.27	0.4	-0.03	-0.45	-0.47	-0.8	-1.22	-0.12	-0.63	-0.42	-0.7	-0.55	-0.96	-0.0757916	-0.68	-0.98	-1.15	-0.9	-1.02	0	-0.1	-0.28	-0.55	-0.62	-0.65	0.57	-0.11	0	-0.48	-1	-1.02
YPL122C	TFB2       || transcription initiation from RNA polymerase II promoter* || general RNA polymerase II transcription factor activity || YPL122C || 1084408	-0.4	-0.4	-0.51	-0.5	-0.35	-0.21	-0.57	-0.74	-0.11	-0.16	-0.1	-0.25	0.32	0.37	0.36	0.48	0.48	0.28	-0.42	-0.63	-0.3	-0.37	-0.38	-0.26	-0.27	-0.42	-0.3	-0.22	-0.11	0.04	-0.16	-0.09	-0.06	0.04	0.14	-0.05
YDR429C	TIF35      || translational initiation || translation initiation factor activity || YDR429C || 1081429	-0.38	-0.29	-0.26	-0.4	-0.06	0.07	-0.83	-0.62	-0.08	-0.02	0	-0.12	-0.29	-0.01	0.16	-0.15	0.28	0.14	0.21	-0.16	0.25	0.09	0.34	-0.05	-0.66	-0.12	-0.14	0	0.01	0.34	-0.99	-0.38	-0.17	0.13	-0.15	-0.07
YLR021W	|| biological process unknown || molecular function unknown || YLR021W || 1085237	-0.08	0.24	-0.22	-0.09	0.11	0.13	-0.78	-0.35	0.64	0.25	0.42	0.3	0.1	0.02	0.27	0.23	0.25	0.49	-0.47	0.14	0.37	0.44	0.36	0.46	-0.19	-0.08	0	0.27	0.17	0.38	0.16	0.29	0.15	0.39	0.19	0.2
YDL135C	RDI1       || actin filament organization* || signal transducer activity* || YDL135C || 1084571	0.36	0.56	0.1	-0.12	0.15	0.17	-0.39	-0.02	0.73	0.75	0.65	0.15	0.46	0.43	0.59	0.61	0.53	0.45	1.04	0.94	0.65	0.52	0.72	0.44	0	0.29	0.17	0.31	0.24	0.37	0.19	0.18	0.35	0.37	0.11	0.03
YNR045W	PET494     || protein biosynthesis || translation regulator activity || YNR045W || 1085794	0.05	-0.01	0.32	0.46	0.17	-0.02	0.58	0.01	-1	-0.68	-0.61	-0.47	-0.6	-0.7	-0.71	-0.98	-0.76	-1.19	-0.28	-0.34	-0.76	-0.67	-0.73	-0.73	-0.38	-0.43	-0.27	-0.33	-0.27	-0.36	-0.71	-0.55	-0.44	-0.58	-0.75	-0.47
YAR003W	SWD1       || chromatin silencing at telomere* || histone lysine N-methyltransferase activity (H3-K4 specific) || YAR003W || 1084268	-0.41	-0.11	-0.5	-0.21	-0.1	-0.08	0.11	0.01	-0.04	0	-0.17	0.05	-0.69	-0.44	-0.22	-0.05	0.23	0.48	-0.09	-0.18	-0.11	-0.05	-0.09	0.17	-0.29	0.08	-0.12	0.07	-0.17	0.02	-0.42	0.1	-0.05	-0.17	-0.07	0.07
YNL124W	NAF1       || transport* || RNA binding* || YNL124W || 1085657	-0.29	-0.4	-0.1	-0.04	-0.05	0.16	-0.45	-0.36	-0.49	-0.55	-0.1	0.12	-0.47	-0.84	-0.39	-0.7	-0.34	-0.07	-0.774966	-0.97	-0.28	-0.54	-0.61	-0.34	-0.32	-0.49	-0.12	-0.01	0.05	-0.09	-0.961832	-0.96	-0.04	-0.24	-0.2	0.15
YHR215W	PHO12      || biological process unknown || acid phosphatase activity || YHR215W || 1084512	0.9	0.17	0.35	-0.04	-0.13	0.05	-0.17	-0.58	-1.05	-0.89	-0.63	-0.18	5.34	5.78	5.52	6.03	5.58	6.01	-0.61	-0.9	-1	-0.8	-0.53	-0.63	-0.43	-0.15	-0.5	-0.26	-0.18	-0.19	-0.81	-0.08	-0.01	0.07	0.11	0.17
YDR299W	BFR2       || ER to Golgi transport || molecular function unknown || YDR299W || 1083882	-0.9	-0.98	-0.57	-0.54	-0.35	-0.27	-0.68	-0.48	-0.33	-0.22	0.05	-0.11	-0.02	0.22	0.18	0.14	0.18	0.11	-0.04	-0.54	-0.08	-0.16	-0.13	-0.29	-1.04	-0.84	-0.39	-0.5	-0.32	-0.28	-0.75	-0.45	-0.18	-0.21	-0.13	-0.13
YOR014W	RTS1       || protein biosynthesis* || protein phosphatase type 2A activity || YOR014W || 1081789	-0.78	-0.69	-0.39	-0.2	-0.32	-0.42	0.14	-0.27	0	-0.28	-0.03	-0.12	-0.21	-0.16	-0.18	0.27	0.25	-0.13	-0.96	-0.32	-0.25	-0.16	-0.29	-0.13	-0.39	-0.43	-0.25	-0.36	-0.13	-0.09	-1.32	-0.21	-0.24	-0.41	-0.03	-0.11
YOR023C	AHC1       || histone acetylation || histone acetyltransferase activity || YOR023C || 1084882	0.95	0.09	0.66	0.77	0.44	0.24	1.15	0.73	-0.05	-0.2	-0.15	0.16	-0.1	-0.45	-0.69	-0.6	-0.79	-0.72	0.23	-0.03	-0.07	-0.06	-0.23	0.01	0.41	-0.16	0.07	-0.08	-0.01	0	0.92	0.35	0.07	-0.03	0.2	0.08
YDR409W	SIZ1       || protein sumoylation || SUMO ligase activity || YDR409W || 1083331	0.7	0.26	0.9	0.45	0.51	0.29	0.81	0.72	-0.36	0.1	-0.14	0.45	-0.11	-0.41	-0.49	-0.56	-0.48	-0.14	0.0249451	-0.28	-0.15	-0.1	-0.38	-0.08	0.2	-0.07	0.14	-0.26	-0.01	0.03	0.708149	0.24	0.31	0.14	0.3	0.12
YJL171C	|| biological process unknown || molecular function unknown || YJL171C || 1082381	0.02	-0.24	0.13	0.32	-0.47	-0.88	0.7	1.01	0.44	0.28	0.08	-0.17	-0.47	-0.11	0.13	-0.01	-0.09	-0.12	0.2	1.06	0.36	0.7	0.46	0.76	1.01	0.87	0.35	0.31	-0.16	-0.23	1.27	1.58	0.81	0.15	0.75	0.38
YOR220W	|| biological process unknown || molecular function unknown || YOR220W || 1082834	1.38	1.12	1.61	1.47	0.46	0.24	1.11	0.85	1.01	0.91	0.6	0.46	0.7	0.61	0.66	0.64	0.1	-0.15	1.29	1.14	1.03	1.05	0.95	0.73	1.51	1.19	0.65	0.45	0.05	0.17	1.82	2.75	1.34	0.66	0.95	0.43
YNR054C	|| biological process unknown || transcription regulator activity || YNR054C || 1081312	-0.17	-0.27	0.08	-0.03	-0.09	0.14	-0.89	-0.64	-0.26	0.15	0.27	0.09	-0.54	-0.29	-0.04	-0.19	0.15	-0.34	-0.6	-0.45	0	0.01	0.01	0.04	-0.16	-0.21	0.02	0.01	0.18	0.26	-0.54	-0.21	0.2	0.19	0.14	0.11
YGL128C	CWC23      || biological process unknown || molecular function unknown || YGL128C || 1081394	0.11	-0.03	0.04	-0.07	-0.01	0.06	-0.04	-0.29	-0.2	-0.33	-0.09	0.12	-0.16	-0.14	0.07	-0.2	-0.07	-0.29	-0.300999	-0.09	-0.06	-0.14	-0.12	-0.15	-0.07	0	-0.11	-0.13	-0.07	-0.08	-0.91	0.01	-0.1	-0.14	-0.1	-0.04
YPL188W	POS5       || response to oxidative stress* || NADH kinase activity || YPL188W || 1085023	1.01	0.89	0.58	0.59	0.43	0.51	-0.02	0	-0.28	0.15	0.19	0.52	-1.01	-0.9	-0.76	-0.86	-0.22	-0.39	-0.39	-0.08	0.22	-0.01	0.21	0.03	0.15	0.61	0.3	0.34	0.21	0.05	-1.55	-0.08	0.08	0.14	0.14	0.07
YGR255C	COQ6       || ubiquinone metabolism || ubiquinone biosynthesis monooxygenase activity || YGR255C || 1082179	-0.11	-0.5	0.16	0.32	0.37	0.4	-0.04	-0.03	-0.66	-0.33	-0.12	0.24	-0.22	-0.32	-0.46	-0.38	-0.12	-0.1	-1.09	-0.69	-0.58	-0.29	-0.18	-0.14	-0.14	-0.03	0.41	0.36	0.38	0.16	-0.51	0.1	0.38	0.19	0.37	0.37
YBR067C	TIP1       || cell wall organization and biogenesis || structural constituent of cell wall* || YBR067C || 1081274	2.03	2.02	1.37	0.79	0.55	-0.15	-1.43	-0.18	-0.69	-0.08	-1.24	-1.32	-0.35	-0.07	-1.08	-0.66	-1.73	-2	-1.21	-0.06	-0.17	-0.71	-1.19	-1.2	-0.01	0.39	-0.23	-0.14	-0.12	-0.51	-2.19	-0.81	-0.67	-0.17	-0.06	-0.26
YOL102C	TPT1       || tRNA splicing || tRNA 2'-phosphotransferase activity || YOL102C || 1081159	0.24	0.26	-0.12	-0.08	-0.07	0.05	-0.25	-0.04	0.79	0.59	0.41	0.05	0.91	0.62	0.68	0.5	0.29	0.58	0.59	0.53	0.2	0.38	0.37	0.34	-0.08	0.01	0.07	0.11	0.12	0.33	0.77	0.31	0.29	0.28	0.36	0.21
YNL133C	FYV6       || double-strand break repair via nonhomologous end-joining || molecular function unknown || YNL133C || 1082125	1.13	1.13	0.47	0.16	0.02	0.03	0.26	0.9	1.44	1.29	0.68	0.01	1.51	1.31	1.2	0.87	0.67	0.68	1.46	1.13	0.69	0.75	0.99	0.62	0.79	0.81	0.15	0.28	-0.01	0.3	1.74	1.31	0.75	0.57	0.44	0.12
YJR032W	CPR7       || response to stress || unfolded protein binding* || YJR032W || 1080952	-0.53	-0.43	-0.54	-0.29	-0.03	-0.12	-0.43	-0.14	-0.11	0.13	0.14	0.17	-0.01	0	0.23	0.51	0.52	0.66	0.04	-0.3	-0.02	0.06	0.16	0.2	-0.45	-0.07	-0.1	0.07	0.18	0.18	-1.18	-0.41	-0.04	0.17	0.31	0.32
YDR005C	MAF1       || negative regulation of transcription from RNA polymerase III promoter || molecular function unknown || YDR005C || 1081584	0.08	0.19	0.1	0.07	-0.18	-0.3	1.1	1.15	1.15	0.82	0.41	0.14	3	2.86	2.66	2.41	1.81	1.3	1.6	0.77	0.3	0.21	0.27	0.07	-0.15	0.02	0.12	0.08	-0.02	-0.1	1.35	0.73	0.24	0.35	0.27	0
